,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
359,-0.5388,0.33,0.33,0.172,@FoxNews,2018-10-08 04:49:13,@FoxNews Change that Channel! No more football. LOL WTF does NIKE own the NFL?,20
360,0.7772,0.0,0.0,0.285,@FoxNews,2018-10-08 04:49:12,"RT @NextRevFNC: That’s a wrap! Thank you to our wonderful panel @LisaMarieBoothe, @charliekirk11 and @HeyTammyBruce! Tune in next Sunday ni…",21
361,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:49:11,RT @FoxNews: 'Women for Trump' hosts America First summit https://t.co/xYFDUVl2To,22
362,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:49:11,RT @FoxNews: 'Women for Trump' hosts America First summit https://t.co/xYFDUVl2To,23
363,-0.6124,0.357,0.357,0.0,@FoxNews,2018-10-08 04:49:10,"RT @FoxNews: New York limousine crash victims included newlyweds, brothers. https://t.co/XjrZrbM1Dr",24
364,-0.7717,0.295,0.295,0.0,@FoxNews,2018-10-08 04:49:09,RT @TomFitton: BREAKING: GOP Senators Receive Death Threats on Their PERSONAL CELL PHONES Following Kavanaugh Confirmation @FoxNews https:/…,25
365,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:49:09,RT @shelly49991143: @CDRSTOUT123 @FoxNews https://t.co/tNzgb2rJ2n,26
366,0.34,0.085,0.085,0.14,@FoxNews,2018-10-08 04:49:08,"RT @FoxNews: .@dbongino: ""We've now seen tax cuts, a boom in the economy, two Supreme Court justices— we're only two years in."" https://t.c…",27
367,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:49:07,RT @FoxNews: 'Women for Trump' hosts America First summit https://t.co/xYFDUVl2To,28
368,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:49:06,"RT @FoxNews: Sen. @LindseyGrahamSC on Kavanaugh's confirmation and the midterms: ""This is going to the streets at the ballot box."" #FNS htt…",29
369,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:49:06,RT @FoxNews: 'Women for Trump' hosts America First summit https://t.co/xYFDUVl2To,30
370,-0.8402,0.333,0.333,0.0,@FoxNews,2018-10-08 04:49:04,"RT @FoxNews: .@benshapiro: ""The Democrats should be ashamed of themselves, but since they have no shame, none will be forthcoming."" https:/…",31
371,-0.0258,0.154,0.154,0.149,@FoxNews,2018-10-08 04:49:04,RT @FoxNews: Stephen Colbert 'Late Show' writer: 'I'm just glad we ruined Brett Kavanaugh's life' https://t.co/e4zqPdQrBu,32
372,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:49:03,RT @FoxNews: 'Women for Trump' hosts America First summit https://t.co/xYFDUVl2To,33
373,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:49:03,RT @CDRSTOUT123: @FoxNews Red Wave here we come. #MAGA #BuildTheWall,34
